id,x,y,radius,budget
0,1735.436827,584.239696,273.42677542505334,1.1109865159210082
1,675.119832,1385.343805,212.43701926694143,0.7690369984633127
2,1262.288571,227.821675,184.62591614202432,0.6859234672956604
3,356.886461,573.608238,234.9479253003425,1.066005943839447
4,1527.405627,1210.263179,213.9694618111576,1.1284763151232942
5,2397.695617,1674.334544,219.38607062395693,0.9221676314662324
6,1690.668343,1786.716408,229.17159939143724,1.1917426692131277
7,1206.76031,729.477281,188.1351194426044,0.9999888486582674
8,2384.42617,1460.735183,267.0846523862019,1.225799941803042
9,1498.312704,2527.962601,234.2944589045395,1.222610060190781
10,2293.508238,1113.349499,191.2565418157712,0.7096846385938256
11,82.824516,2206.075191,202.34460212066367,0.7727957181715017
12,891.58925,2481.473302,185.8295242049119,0.9345648801092425
13,2106.247429,2100.404035,224.9687265447461,1.0668272715362743
14,1445.215087,1757.252844,208.1524854039229,0.9223427820791471
15,1088.658337,1521.61021,209.91740872879123,0.7495046599805308
16,947.28327,355.466729,215.45265439680173,0.8378673686179886
17,577.331375,1076.851449,215.94617127869395,1.1452136974749043
18,1922.297774,2600.950318,275.8356929778006,1.0338248533810244
19,536.053801,153.271913,188.47915983680397,0.6924681091536712
20,1736.13772,2217.42785,221.7056853393196,0.8834175315910002
21,306.763919,214.52415,202.55978218035892,0.8699543739612985
22,1909.748706,241.247793,219.20025484581365,0.8530477643948946
23,1493.615031,1971.16841,193.307907085064,0.6925283570291304
24,731.097967,251.102251,267.88963871479393,1.012547412005955
25,942.063408,1963.015377,261.5504138394866,1.2509322680863935
26,1065.038096,574.931943,220.4307016842725,1.1442577929095967
27,910.653504,740.026648,187.8571033599462,0.6713017747220469
28,1419.693033,1337.789179,191.01660921437607,0.6643345805630015
29,801.671142,1665.205084,223.02653913831915,1.1395152635691932
30,28.598745,2721.493162,252.29396436054745,1.0642156764420443
31,602.562987,2282.277756,254.05043137534085,1.2281160463956489
32,350.638081,1884.479502,235.2220889430287,1.1026905814705912
33,106.968332,1218.377141,260.9231009440398,1.0080528723214486
34,233.251708,2925.84109,263.81813665072866,1.1331838790152828
35,1346.328778,2981.336148,258.69802430458,0.9577658734058327
36,1845.321606,2997.684098,272.4415131368413,1.3314793306476294
37,904.865358,2882.654165,232.302955249237,1.0957362291387587
38,1863.543351,1262.940078,252.97389791133725,1.2427383416715247
39,1380.8822,1075.684467,245.7488453592761,1.2121274880597892
40,256.649547,2556.550073,242.7906309957944,0.934834752722163
41,2439.098118,732.306208,205.9266552838729,0.9335060101162012
42,2205.043088,2332.115717,237.74762682849288,1.1830256833612185
43,2016.650093,850.169236,195.90668124642156,0.850422398645988
44,760.690456,3056.922037,258.0529979187769,1.1907716102747932
45,2160.33809,1884.723899,192.218641907016,1.001098674332075
46,2469.074724,2048.373261,257.91554125174883,1.03736527867474
47,2188.635024,1576.109485,186.65897427162892,0.8903765215576678
48,1200.073366,2327.073073,258.24430680504184,0.933255056066929
49,2344.366366,2795.073366,254.05478025614303,1.1561765992220112
50,3800.073366,1011.073366,253.83525953708943,1.1380944169521154
